tox_cas_edf_id,tox_chemical_name,tox_category,tox_cancer,tox_cardiovascular_blood,tox_developmental,tox_endocrine,tox_gastrointestinal_liver,tox_immunotoxicity,tox_kidney,tox_musculoskeletal,tox_neurotoxicity,tox_reproductive,tox_respiratory,tox_skin_sense
52663-76-0,"2,2',3,4,4',5,5',6-Octachlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52663-77-1,"2,2',3,3',4,5,5',6,6'-NONACHLOROBIPHENYL (PCB-208)",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52663-78-2,"2,2',3,3',4,4',5,6-OCTACHLOROBIPHENYL",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52663-79-3,"2,2',3,3',4,4',5,6,6'-NONACHLOROBIPHENYL (PCB-207)",recognized,True,False,True,False,False,False,False,False,False,False,False,False
527-84-4,O-CYMENE,suspected,False,True,False,False,False,False,False,False,False,False,True,False
52704-70-8,"2,2',3,3',5,6-HEXACHLOROBIPHENYL (PCB-134)",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52712-04-6,"2,2',3,4,5,5'-Hexachlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52712-05-7,"2,2',3,4,5,5',6-HEPTACHLOROBIPHENYL (PCB-185)",recognized,True,False,True,False,False,False,False,False,False,False,False,False
52740-16-6,CALCIUM ARSENITE,recognized,True,False,True,False,False,False,False,False,False,False,False,False
52744-13-5,"2,2',3,3',5,6'-Hexachlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
528-29-0,O-DINITROBENZENE,recognized,False,False,False,False,False,False,False,False,False,True,False,False
528-29-0,O-DINITROBENZENE,suspected,False,True,False,False,True,False,False,False,True,False,False,False
52918-63-5,DELTAMETHRIN (DECA-),suspected,False,False,False,False,True,False,True,False,True,False,False,False
53-16-7,ESTRONE,recognized,True,False,False,False,False,False,False,False,False,False,False,False
53-19-0,"O,P-DDD",recognized,True,False,False,False,False,False,False,False,False,False,False,False
53-19-0,"O,P-DDD",suspected,False,True,False,False,True,False,False,False,True,False,False,True
53-70-3,"DIBENZ(A,H)ANTHRACENE",recognized,True,False,False,False,False,False,False,False,False,False,False,False
53-70-3,"DIBENZ(A,H)ANTHRACENE",suspected,False,False,False,False,False,False,False,False,False,False,False,True
53-86-1,INDOMETHACIN,suspected,False,True,False,False,True,False,True,False,False,False,True,False
53-95-2,N-HYDROXY-2-ACETYLAMINOFLUORENE,suspected,True,False,False,False,True,False,True,False,False,False,False,True
53-96-3,2-ACETYLAMINOFLUORENE,recognized,True,False,False,False,False,False,False,False,False,False,False,False
53-96-3,2-ACETYLAMINOFLUORENE,suspected,False,False,False,False,True,False,True,False,False,False,False,True
531-76-0,MERPHALAN,recognized,True,False,False,False,False,False,False,False,False,False,False,False
531-82-8,N-[4-(5-NITRO-2-FURYL)-2-THIAZOLYL]ACETAMIDE,recognized,True,False,False,False,False,False,False,False,False,False,False,False
531-82-8,N-[4-(5-NITRO-2-FURYL)-2-THIAZOLYL]ACETAMIDE,suspected,False,False,False,False,True,False,True,False,False,False,True,True
531-85-1,"[1,1'-Biphenyl]-4,4'-diamine, dihydrochloride",suspected,False,False,False,False,True,False,False,False,False,False,False,False
53112-28-0,PYRIMETHANIL,suspected,True,False,False,True,False,False,False,False,False,False,False,False
532-27-4,2-CHLOROACETOPHENONE,suspected,False,True,False,False,False,True,False,False,True,False,True,True
532-32-1,SODIUM BENZOATE,suspected,False,True,False,False,True,False,True,False,True,False,False,True
532-82-1,CHRYSOIDINE,suspected,True,False,False,False,True,False,False,False,False,False,False,False
5329-14-6,SULFAMIC ACID,suspected,False,False,False,False,False,False,False,False,True,False,False,False
533-31-3,SESAMOL,suspected,True,False,False,False,True,False,False,False,False,False,False,False
533-74-4,DAZOMET,suspected,False,False,False,False,True,True,True,False,True,False,True,True
5332-52-5,1-Undecanethiol,suspected,False,False,False,False,False,False,False,False,False,False,True,False
534-07-6,BIS(CHLOROMETHYL) KETONE,suspected,False,False,False,False,False,False,False,False,True,False,False,True
534-52-1,"4,6-DINITRO-O-CRESOL",suspected,False,True,False,False,True,False,True,False,True,False,True,True
53404-19-6,"BROMACIL LITHIUM SALT (2,4(H,3H)-PYRIMIDINEDIONE, ETHYL-3 (1-METHYLPROPYL), LITHIUM SALT)",recognized,False,False,True,False,False,False,False,False,False,True,False,False
53404-19-6,"BROMACIL LITHIUM SALT (2,4(H,3H)-PYRIMIDINEDIONE, ETHYL-3 (1-METHYLPROPYL), LITHIUM SALT)",suspected,False,False,False,True,False,False,False,False,False,False,False,False
53404-37-8,"2,4-D 2-ETHYL-4-METHYLPENTYL ESTER",suspected,False,False,True,False,True,False,True,False,True,False,False,False
53404-60-7,"DAZOMET, SODIUM SALT",suspected,False,False,False,False,False,False,True,False,False,False,False,False
53469-21-9,AROCLOR 1242,recognized,True,False,True,False,False,False,False,False,False,False,False,False
53469-21-9,AROCLOR 1242,suspected,False,True,False,True,True,False,False,False,False,True,True,True
535-77-3,1-ISOPROPYL-3-METHYLBENZENE,suspected,False,False,False,False,False,False,False,False,True,False,False,False
53555-66-1,"3,4,5-Trichlorobiphenyl",recognized,True,False,True,False,False,False,False,False,False,False,False,False
53558-25-1,PYRIMINIL,suspected,False,True,False,True,False,False,True,False,True,False,False,False
536-33-4,ETHIONAMIDE,recognized,False,False,True,False,False,False,False,False,False,False,False,False
536-33-4,ETHIONAMIDE,suspected,False,False,False,False,True,False,False,False,False,False,False,False
537-73-5,"2-Propenoic acid, 3-(3-hydroxy-4-methoxyphenyl)-",suspected,False,False,False,False,False,False,False,False,True,False,False,False
53742-07-7,NONA-PCB,recognized,True,False,True,False,False,False,False,False,False,False,False,False
5385-75-1,"DIBENZO[A,E]FLUORANTHENE",suspected,True,False,False,False,False,False,False,False,False,False,False,False
53910-25-1,PENTOSTATIN,recognized,False,False,True,False,False,False,False,False,False,False,False,False
5392-40-5,"2,6-OCTADIENAL, 3,7-DIMETHYL-",suspected,False,False,False,False,True,False,False,False,False,False,False,False
53973-98-1,POLYGEENAN,recognized,True,False,False,False,False,False,False,False,False,False,False,False
54-05-7,CHLOROQUINE,suspected,False,True,False,False,True,False,True,False,True,False,True,True
54-11-5,NICOTINE AND SALTS,recognized,False,False,True,False,False,False,False,False,False,False,False,False
54-11-5,NICOTINE AND SALTS,suspected,False,False,False,False,False,False,False,False,True,False,True,False
54-21-7,2-HYDROXYBENZOIC ACID MONOSODIUM SALT,suspected,False,False,False,False,False,False,True,False,True,False,True,False
54-31-9,FUROSEMIDE,suspected,False,False,False,False,True,False,True,False,True,False,False,False
54-62-6,AMINOPTERIN,recognized,False,False,True,False,False,False,False,False,False,True,False,False
